Year;Sector;Pollutant;RepShare;CalcShare
2010;GROUP_OtherComb;13;0.00000;1.00000
2010;GROUP_OtherComb;14;0.00227;0.99773
2010;GROUP_OtherComb;15;0.00000;1.00000
2010;GROUP_OtherComb;16;0.00329;0.99671
2010;GROUP_OtherComb;17;0.00000;1.00000
2010;GROUP_OtherComb;18;0.00053;0.99947
2010;GROUP_OtherComb;19;0.00000;1.00000
2010;GROUP_OtherComb;22;0.00979;0.99021
2010;GROUP_OtherComb;25;0.00000;1.00000
2010;GROUP_OtherComb;26;0.00000;1.00000
2010;GROUP_OtherComb;27;0.00115;0.99885
2010;GROUP_OtherComb;28;0.00000;1.00000
2010;GROUP_OtherComb;29;0.00000;1.00000
2010;GROUP_OtherComb;30;0.00000;1.00000
2010;GROUP_OtherComb;31;0.00429;0.99571
2010;GROUP_OtherComb;37;0.00000;1.00000
2010;GROUP_OtherComb;38;0.00000;1.00000
2010;GROUP_OtherComb;39;0.00000;1.00000
2010;GROUP_OtherComb;40;0.00000;1.00000
2010;GROUP_OtherComb;43;0.00000;1.00000
2010;GROUP_OtherComb;44;0.00000;1.00000
2010;GROUP_PowerIndustry;1;0.30715;0.69285
2010;GROUP_PowerIndustry;3;0.51202;0.48798
2010;GROUP_PowerIndustry;4;0.32793;0.67207
2010;GROUP_PowerIndustry;5;0.25057;0.74943
2010;GROUP_PowerIndustry;6;0.96198;0.03802
2010;GROUP_PowerIndustry;7;0.57792;0.42208
2010;GROUP_PowerIndustry;8;0.35097;0.64903
2010;GROUP_PowerIndustry;10;0.24264;0.75736
2010;GROUP_PowerIndustry;11;0.17438;0.82562
2010;GROUP_PowerIndustry;12;0.76690;0.23310
2010;GROUP_PowerIndustry;13;0.99505;0.00495
2010;GROUP_PowerIndustry;14;0.49073;0.50927
2010;GROUP_PowerIndustry;15;0.51343;0.48657
2010;GROUP_PowerIndustry;16;0.95136;0.04864
2010;GROUP_PowerIndustry;17;0.12257;0.87743
2010;GROUP_PowerIndustry;18;0.32156;0.67844
2010;GROUP_PowerIndustry;19;0.41459;0.58541
2010;GROUP_PowerIndustry;22;0.95374;0.04626
2010;GROUP_PowerIndustry;25;0.41111;0.58889
2010;GROUP_PowerIndustry;26;0.41710;0.58290
2010;GROUP_PowerIndustry;27;0.64589;0.35411
2010;GROUP_PowerIndustry;28;0.00000;1.00000
2010;GROUP_PowerIndustry;29;0.00000;1.00000
2010;GROUP_PowerIndustry;30;0.89196;0.10804
2010;GROUP_PowerIndustry;31;0.28466;0.71534
2010;GROUP_PowerIndustry;34;1.00000;0.00000
2010;GROUP_PowerIndustry;35;1.00000;0.00000
2010;GROUP_PowerIndustry;36;1.00000;0.00000
2010;GROUP_PowerIndustry;37;1.00000;0.00000
2010;GROUP_PowerIndustry;38;0.18475;0.81525
2010;GROUP_PowerIndustry;40;0.24994;0.75006
2010;GROUP_PowerIndustry;41;1.00000;0.00000
2010;GROUP_PowerIndustry;43;0.00000;1.00000
2010;GROUP_Products;1;0.00000;1.00000
2010;GROUP_Products;3;0.00000;1.00000
2010;GROUP_Products;4;1.00000;0.00000
2010;GROUP_Products;5;0.00000;1.00000
2010;GROUP_Products;7;0.00000;1.00000
2010;GROUP_Products;8;0.00000;1.00000
2010;GROUP_Products;10;1.00000;0.00000
2010;GROUP_Products;11;1.00000;0.00000
2010;GROUP_Products;12;0.00000;1.00000
2010;GROUP_Products;13;0.21512;0.78488
2010;GROUP_Products;14;0.00000;1.00000
2010;GROUP_Products;15;0.20436;0.79564
2010;GROUP_Products;16;0.00000;1.00000
2010;GROUP_Products;17;0.00000;1.00000
2010;GROUP_Products;18;0.00000;1.00000
2010;GROUP_Products;19;0.00000;1.00000
2010;GROUP_Products;22;0.86412;0.13588
2010;GROUP_Products;25;0.00000;1.00000
2010;GROUP_Products;26;1.00000;0.00000
2010;GROUP_Products;27;0.31362;0.68638
2010;GROUP_Products;28;0.00000;1.00000
2010;GROUP_Products;29;0.00000;1.00000
2010;GROUP_Products;37;0.00000;1.00000
2010;GROUP_Products;38;0.00000;1.00000
2010;GROUP_Products;40;0.00000;1.00000
2010;GROUP_Products;43;0.00000;1.00000
2010;GROUP_Transport;1;0.00000;1.00000
2010;GROUP_Transport;3;0.00000;1.00000
2010;GROUP_Transport;4;0.96257;0.03743
2010;GROUP_Transport;5;0.00000;1.00000
2010;GROUP_Transport;6;0.11952;0.88048
2010;GROUP_Transport;7;0.00000;1.00000
2010;GROUP_Transport;8;0.00000;1.00000
2010;GROUP_Transport;10;;
2010;GROUP_Transport;11;;
2010;GROUP_Transport;12;0.00000;1.00000
2010;GROUP_Transport;13;0.00000;1.00000
2010;GROUP_Transport;14;0.00000;1.00000
2010;GROUP_Transport;15;0.00000;1.00000
2010;GROUP_Transport;16;0.00054;0.99946
2010;GROUP_Transport;17;0.00000;1.00000
2010;GROUP_Transport;18;0.00000;1.00000
2010;GROUP_Transport;19;0.00000;1.00000
2010;GROUP_Transport;22;0.00000;1.00000
2010;GROUP_Transport;25;0.00000;1.00000
2010;GROUP_Transport;26;0.00000;1.00000
2010;GROUP_Transport;27;0.00000;1.00000
2010;GROUP_Transport;28;0.00000;1.00000
2010;GROUP_Transport;29;0.00000;1.00000
2010;GROUP_Transport;30;;
2010;GROUP_Transport;31;;
2010;GROUP_Transport;37;0.00000;1.00000
2010;GROUP_Transport;38;0.00000;1.00000
2010;GROUP_Transport;40;0.00000;1.00000
2010;GROUP_Transport;43;0.00000;1.00000
